,name_food,calories,link
103,Ensalada de dátiles y naranja,180,https://queapetito.com/receta-ensalada-datiles-naranja/
104,Ensalada césar venezolana,260,https://queapetito.com/receta-ensalada-cesar-venezolana/
105,Ensalada agridulce de repollo,120,https://queapetito.com/receta-ensalada-agridulce-repollo/
106,Ensalada de cuscús y aguacate,320,https://queapetito.com/receta-ensalada-cuscus-aguacate/
107,Ensalada con piña y langostinos,300,https://queapetito.com/receta-ensalada-pina-langostinos/
108,Ensalada de aguacate y gambas,220,https://queapetito.com/receta-ensalada-aguacate-gambas/
109,Ensalada de Atún con coliflor,206,https://queapetito.com/receta-ensalada-atun-coliflor/
110,Ensalada Fattoush,113,https://queapetito.com/receta-ensalada-fattoush/
111,Ensalada asiática de verduras,165,https://queapetito.com/receta-ensalada-asiatica-verduras/
112,Ensalada de aguacate con limón,125,https://queapetito.com/receta-ensalada-aguacate-limon/
113,Ensalada con salsa de soja,108,https://queapetito.com/receta-ensalada-salsa-soja/
114,Ensalada de aguacate y marisco,288,https://queapetito.com/receta-ensalada-aguacate-marisco/
115,"Ensalada de Manzana, Apio y Berros",61,https://queapetito.com/receta-ensalada-manzana-apio-berros/
116,Ensalada americana de patatas,288,https://queapetito.com/receta-ensalada-americana-patatas/
117,Ensalada César de berros,150,https://queapetito.com/receta-ensalada-cesar-berros/
118,Ensalada de timbales de queso,140,https://queapetito.com/receta-ensalada-timbales-queso/
119,"Ensalada de manzana, piña y nueces",330,https://queapetito.com/receta-ensalada-manzana-pina-nueces/
120,Ensalada de berenjenas árabe,145,https://queapetito.com/receta-ensalada-berenjenas-arabe/
121,Ensalada de canónigos y rúcula,145,https://queapetito.com/receta-ensalada-canonigos-rucula/
122,Ensalada con huevos y anchoas,122,https://queapetito.com/receta-ensalada-huevos-anchoas/
123,Ensalada de Arroz con Atún,168,https://queapetito.com/receta-ensalada-arroz-atun/
124,Ensalada china con agar-agar,170,https://queapetito.com/receta-ensalada-china-agar-agar/
125,Ensalada con queso feta,270,https://queapetito.com/receta-ensalada-queso-feta/
126,Ensalada de endivias belgas,17,https://queapetito.com/receta-ensalada-endivias-belgas/
127,Ensalada con frutas frescas,300,https://queapetito.com/receta-ensalada-frutas-frescas/
128,Ensalada de arroz integral con aguacate,140,https://queapetito.com/receta-ensalada-arroz-integral-aguacate/
129,Ensalada de aguacate y granada,190,https://queapetito.com/receta-ensalada-aguacate-granada/
130,Ensalada de aguacate y salmón ahumado,300,https://queapetito.com/receta-ensalada-aguacate-salmon-ahumado/
131,Ensalada con cereales,220,https://queapetito.com/receta-ensalada-cereales/
132,Ensalada de alcachofas crudas,90,https://queapetito.com/receta-ensalada-alcachofas-crudas/
133,Ensalada con trigo americano y atún,270,https://queapetito.com/receta-ensalada-trigo-americano-atun/
134,Ensalada de bacalao con aguacate,230,https://queapetito.com/receta-ensalada-bacalao-aguacate/
135,Ensalada de aguacate y mejillones,350,https://queapetito.com/receta-ensalada-aguacate-mejillones/
136,Ensalada caprese con aguacate,288,https://queapetito.com/receta-ensalada-caprese-aguacate/
137,Ensalada de arroz con nueces,210,https://queapetito.com/receta-ensalada-arroz-nueces/
138,Ensalada de Almendras y pollo,363,https://queapetito.com/receta-ensalada-almendras-pollo/
139,Ensalada de apio y repollo,35,https://queapetito.com/receta-ensalada-apio-repollo/
140,Ensalada de trigo con verduras,203,https://queapetito.com/receta-ensalada-trigo-verduras/
141,Ensalada de pomelo rosa,130,https://queapetito.com/receta-ensalada-pomelo-rosa/
142,Ensalada de naranja y queso de cabra,290,https://queapetito.com/receta-ensalada-naranja-queso-cabra/
143,Ensalada con remolacha,87,https://queapetito.com/receta-ensalada-remolacha/
144,Ensalada de remolacha y patatas,168,https://queapetito.com/receta-ensalada-remolacha-patatas/
145,Judías Verdes con Tomate cherry,105,https://queapetito.com/receta-judias-verdes-tomate-cherry/
146,Ensalada turca,90,https://queapetito.com/receta-ensalada-turca/
147,Ensalada templada de vieiras,130,https://queapetito.com/receta-ensalada-templada-vieiras/
148,Ensalada toscana,250,https://queapetito.com/receta-ensalada-toscana/
149,Escarola con salsa romesco o xatonada,330,https://queapetito.com/receta-escarola-salsa-romesco-o-xatonada/
150,Ensalada de naranja y frutos secos,260,https://queapetito.com/receta-ensalada-naranja-frutos-secos/
151,Ensalada de manzana y zanahoria,380,https://queapetito.com/receta-ensalada-manzana-zanahoria/
